name,n_features,features,cv_f1_mean,cv_f1_std,cv_scores
All Features (with metadata),66,"['mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy', 'dominant_freq', 'mean_freq', 'median_freq', 'band_power_very_low', 'band_power_very_low_rel', 'band_power_low', 'band_power_low_rel', 'band_power_mid', 'band_power_mid_rel', 'band_power_high', 'band_power_high_rel', 'band_power_very_high', 'band_power_very_high_rel', 'spectral_entropy', 'spectral_bandwidth', 'spectral_rolloff', 'total_power', 'wt_approx_L6_energy', 'wt_approx_L6_energy_rel', 'wt_approx_L6_std', 'wt_approx_L6_kurtosis', 'wt_detail_L6_energy', 'wt_detail_L6_energy_rel', 'wt_detail_L6_std', 'wt_detail_L6_kurtosis', 'wt_detail_L5_energy', 'wt_detail_L5_energy_rel', 'wt_detail_L5_std', 'wt_detail_L5_kurtosis', 'wt_detail_L4_energy', 'wt_detail_L4_energy_rel', 'wt_detail_L4_std', 'wt_detail_L4_kurtosis', 'wt_detail_L3_energy', 'wt_detail_L3_energy_rel', 'wt_detail_L3_std', 'wt_detail_L3_kurtosis', 'wt_detail_L2_energy', 'wt_detail_L2_energy_rel', 'wt_detail_L2_std', 'wt_detail_L2_kurtosis', 'wt_detail_L1_energy', 'wt_detail_L1_energy_rel', 'wt_detail_L1_std', 'wt_detail_L1_kurtosis', 'crest_factor', 'kurtosis', 'skewness', 'zero_crossing_rate', 'shape_factor', 'target_voltage', 'actual_voltage', 'voltage_error', 'flow_rate', 'current_PS']",0.8136091913805336,0.016337960576158442,"[0.7934374055483837, 0.7953044608277305, 0.81937067597243, 0.8334559276311434, 0.8264774869229807]"
Metadata Only,5,"['target_voltage', 'actual_voltage', 'voltage_error', 'flow_rate', 'current_PS']",0.6962577507488568,0.0153705926713951,"[0.7249631925968613, 0.6941621333822845, 0.6946525636126739, 0.6880964585324754, 0.6794144056199893]"
All Features (no metadata),61,"['mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy', 'dominant_freq', 'mean_freq', 'median_freq', 'band_power_very_low', 'band_power_very_low_rel', 'band_power_low', 'band_power_low_rel', 'band_power_mid', 'band_power_mid_rel', 'band_power_high', 'band_power_high_rel', 'band_power_very_high', 'band_power_very_high_rel', 'spectral_entropy', 'spectral_bandwidth', 'spectral_rolloff', 'total_power', 'wt_approx_L6_energy', 'wt_approx_L6_energy_rel', 'wt_approx_L6_std', 'wt_approx_L6_kurtosis', 'wt_detail_L6_energy', 'wt_detail_L6_energy_rel', 'wt_detail_L6_std', 'wt_detail_L6_kurtosis', 'wt_detail_L5_energy', 'wt_detail_L5_energy_rel', 'wt_detail_L5_std', 'wt_detail_L5_kurtosis', 'wt_detail_L4_energy', 'wt_detail_L4_energy_rel', 'wt_detail_L4_std', 'wt_detail_L4_kurtosis', 'wt_detail_L3_energy', 'wt_detail_L3_energy_rel', 'wt_detail_L3_std', 'wt_detail_L3_kurtosis', 'wt_detail_L2_energy', 'wt_detail_L2_energy_rel', 'wt_detail_L2_std', 'wt_detail_L2_kurtosis', 'wt_detail_L1_energy', 'wt_detail_L1_energy_rel', 'wt_detail_L1_std', 'wt_detail_L1_kurtosis', 'crest_factor', 'kurtosis', 'skewness', 'zero_crossing_rate', 'shape_factor']",0.6700998975733408,0.028199333900700133,"[0.711325569125205, 0.641540246523316, 0.6607976100455233, 0.6945772798924791, 0.6422587822801802]"
Time + Wavelet,39,"['mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy', 'wt_approx_L6_energy', 'wt_approx_L6_energy_rel', 'wt_approx_L6_std', 'wt_approx_L6_kurtosis', 'wt_detail_L6_energy', 'wt_detail_L6_energy_rel', 'wt_detail_L6_std', 'wt_detail_L6_kurtosis', 'wt_detail_L5_energy', 'wt_detail_L5_energy_rel', 'wt_detail_L5_std', 'wt_detail_L5_kurtosis', 'wt_detail_L4_energy', 'wt_detail_L4_energy_rel', 'wt_detail_L4_std', 'wt_detail_L4_kurtosis', 'wt_detail_L3_energy', 'wt_detail_L3_energy_rel', 'wt_detail_L3_std', 'wt_detail_L3_kurtosis', 'wt_detail_L2_energy', 'wt_detail_L2_energy_rel', 'wt_detail_L2_std', 'wt_detail_L2_kurtosis', 'wt_detail_L1_energy', 'wt_detail_L1_energy_rel', 'wt_detail_L1_std', 'wt_detail_L1_kurtosis']",0.6597264697400027,0.018224483157634197,"[0.6820076966619372, 0.6400433433415841, 0.6601155493143323, 0.6778818922421977, 0.6385838671399624]"
Time + Frequency,28,"['mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy', 'dominant_freq', 'mean_freq', 'median_freq', 'band_power_very_low', 'band_power_very_low_rel', 'band_power_low', 'band_power_low_rel', 'band_power_mid', 'band_power_mid_rel', 'band_power_high', 'band_power_high_rel', 'band_power_very_high', 'band_power_very_high_rel', 'spectral_entropy', 'spectral_bandwidth', 'spectral_rolloff', 'total_power']",0.6528627947239444,0.0183074203081314,"[0.6749680058503588, 0.6398169447908703, 0.6513671878203898, 0.6712860026136238, 0.6268758325444791]"
Time + Frequency + Wavelet,56,"['mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy', 'dominant_freq', 'mean_freq', 'median_freq', 'band_power_very_low', 'band_power_very_low_rel', 'band_power_low', 'band_power_low_rel', 'band_power_mid', 'band_power_mid_rel', 'band_power_high', 'band_power_high_rel', 'band_power_very_high', 'band_power_very_high_rel', 'spectral_entropy', 'spectral_bandwidth', 'spectral_rolloff', 'total_power', 'wt_approx_L6_energy', 'wt_approx_L6_energy_rel', 'wt_approx_L6_std', 'wt_approx_L6_kurtosis', 'wt_detail_L6_energy', 'wt_detail_L6_energy_rel', 'wt_detail_L6_std', 'wt_detail_L6_kurtosis', 'wt_detail_L5_energy', 'wt_detail_L5_energy_rel', 'wt_detail_L5_std', 'wt_detail_L5_kurtosis', 'wt_detail_L4_energy', 'wt_detail_L4_energy_rel', 'wt_detail_L4_std', 'wt_detail_L4_kurtosis', 'wt_detail_L3_energy', 'wt_detail_L3_energy_rel', 'wt_detail_L3_std', 'wt_detail_L3_kurtosis', 'wt_detail_L2_energy', 'wt_detail_L2_energy_rel', 'wt_detail_L2_std', 'wt_detail_L2_kurtosis', 'wt_detail_L1_energy', 'wt_detail_L1_energy_rel', 'wt_detail_L1_std', 'wt_detail_L1_kurtosis']",0.6521013644805409,0.01926495596574618,"[0.6752558799225465, 0.6241430354913502, 0.6445870858464844, 0.6725005091611606, 0.6440203119811627]"
Shape Features Only,16,"['crest_factor', 'kurtosis', 'skewness', 'zero_crossing_rate', 'shape_factor', 'mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy']",0.6511776058215634,0.029955590654353943,"[0.7011067486881569, 0.6364993402012058, 0.6579352074763908, 0.6507924708414704, 0.6095542619005929]"
Time Domain Only,11,"['mean', 'std', 'median', 'rms', 'variance', 'peak', 'peak_to_peak', 'iqr', 'derivative_variance', 'derivative_mean_abs', 'wavelet_total_energy']",0.6388786499420411,0.021968202957811687,"[0.6711894470848384, 0.627146048773961, 0.6338878477427953, 0.6543763316616141, 0.6077935744469967]"
Wavelet Only,28,"['wt_approx_L6_energy', 'wt_approx_L6_energy_rel', 'wt_approx_L6_std', 'wt_approx_L6_kurtosis', 'wt_detail_L6_energy', 'wt_detail_L6_energy_rel', 'wt_detail_L6_std', 'wt_detail_L6_kurtosis', 'wt_detail_L5_energy', 'wt_detail_L5_energy_rel', 'wt_detail_L5_std', 'wt_detail_L5_kurtosis', 'wt_detail_L4_energy', 'wt_detail_L4_energy_rel', 'wt_detail_L4_std', 'wt_detail_L4_kurtosis', 'wt_detail_L3_energy', 'wt_detail_L3_energy_rel', 'wt_detail_L3_std', 'wt_detail_L3_kurtosis', 'wt_detail_L2_energy', 'wt_detail_L2_energy_rel', 'wt_detail_L2_std', 'wt_detail_L2_kurtosis', 'wt_detail_L1_energy', 'wt_detail_L1_energy_rel', 'wt_detail_L1_std', 'wt_detail_L1_kurtosis']",0.6371406740488628,0.03190194576896662,"[0.6725318203421762, 0.5952909506652492, 0.6533442982456141, 0.6620565519912505, 0.6024797490000237]"
Frequency + Wavelet,45,"['dominant_freq', 'mean_freq', 'median_freq', 'band_power_very_low', 'band_power_very_low_rel', 'band_power_low', 'band_power_low_rel', 'band_power_mid', 'band_power_mid_rel', 'band_power_high', 'band_power_high_rel', 'band_power_very_high', 'band_power_very_high_rel', 'spectral_entropy', 'spectral_bandwidth', 'spectral_rolloff', 'total_power', 'wt_approx_L6_energy', 'wt_approx_L6_energy_rel', 'wt_approx_L6_std', 'wt_approx_L6_kurtosis', 'wt_detail_L6_energy', 'wt_detail_L6_energy_rel', 'wt_detail_L6_std', 'wt_detail_L6_kurtosis', 'wt_detail_L5_energy', 'wt_detail_L5_energy_rel', 'wt_detail_L5_std', 'wt_detail_L5_kurtosis', 'wt_detail_L4_energy', 'wt_detail_L4_energy_rel', 'wt_detail_L4_std', 'wt_detail_L4_kurtosis', 'wt_detail_L3_energy', 'wt_detail_L3_energy_rel', 'wt_detail_L3_std', 'wt_detail_L3_kurtosis', 'wt_detail_L2_energy', 'wt_detail_L2_energy_rel', 'wt_detail_L2_std', 'wt_detail_L2_kurtosis', 'wt_detail_L1_energy', 'wt_detail_L1_energy_rel', 'wt_detail_L1_std', 'wt_detail_L1_kurtosis']",0.631434118287688,0.024691768673545937,"[0.6481058161216293, 0.6055444937639934, 0.5982437970868097, 0.645589417206757, 0.6596870672592507]"
Statistical Moments Only,5,"['crest_factor', 'kurtosis', 'skewness', 'zero_crossing_rate', 'shape_factor']",0.6266286999136662,0.017797648190952094,"[0.6482755293801805, 0.623816392148778, 0.6391020557799364, 0.6261670436978167, 0.5957824785616197]"
Frequency Domain Only,17,"['dominant_freq', 'mean_freq', 'median_freq', 'band_power_very_low', 'band_power_very_low_rel', 'band_power_low', 'band_power_low_rel', 'band_power_mid', 'band_power_mid_rel', 'band_power_high', 'band_power_high_rel', 'band_power_very_high', 'band_power_very_high_rel', 'spectral_entropy', 'spectral_bandwidth', 'spectral_rolloff', 'total_power']",0.5244918094986459,0.027558824483079163,"[0.5606955774429252, 0.5297363455103574, 0.5027364849008522, 0.5445787893540663, 0.48471185028502906]"
